grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, WIDA*, manhattan, 2.000000, 15Puzzle, "7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14 ", 75, 82, 52902, 0.006396, 8.27111e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6 ", 81, 86, 65968, 0.004781, 1.37980e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3 ", 73, 82, 292921, 0.017272, 1.69593e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0 ", 70, 84, 3056, 0.000562, 5.43772e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15 ", 77, 82, 130601, 0.014000, 9.32864e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6 ", 74, 84, 788700, 0.045088, 1.74925e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13 ", 68, 72, 135951, 0.006956, 1.95444e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0 ", 58, 60, 258819, 0.014367, 1.80148e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7 ", 62, 64, 360539, 0.021681, 1.66293e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1 ", 77, 86, 5996, 0.000361, 1.66094e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1 ", 77, 86, 31686, 0.002153, 1.47171e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0 ", 58, 64, 223279, 0.013700, 1.62977e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15 ", 65, 70, 6292, 0.000411, 1.53090e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0 ", 82, 88, 49708, 0.003257, 1.52619e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7 ", 62, 72, 114610, 0.007031, 1.63007e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12 ", 75, 82, 1124312, 0.060994, 1.84332e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12 ", 84, 92, 206279, 0.010724, 1.92353e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13 ", 79, 86, 407363, 0.020400, 1.99688e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0 ", 48, 48, 683247, 0.034575, 1.97613e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0 ", 70, 72, 3038, 0.000182, 1.66923e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2 ", 58, 68, 4319, 0.000564, 7.65780e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10 ", 64, 72, 667951, 0.039252, 1.70170e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6 ", 75, 82, 12881, 0.001337, 9.63426e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12 ", 61, 66, 13261, 0.000687, 1.93028e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0 ", 62, 68, 15105, 0.000815, 1.85337e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12 ", 56, 64, 55165, 0.004324, 1.27579e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11 ", 74, 80, 48122, 0.004157, 1.15761e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7 ", 66, 72, 11550, 0.001067, 1.08247e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12 ", 70, 76, 78348, 0.005097, 1.53714e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11 ", 57, 66, 420105, 0.024751, 1.69733e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11 ", 61, 70, 610, 0.000077, 7.92208e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10 ", 66, 76, 27130, 0.002104, 1.28945e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8 ", 78, 84, 6195, 0.000338, 1.83284e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15 ", 77, 86, 112038, 0.011332, 9.88687e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15 ", 66, 72, 19008, 0.001097, 1.73273e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10 ", 64, 72, 72587, 0.007840, 9.25855e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10 ", 75, 78, 397370, 0.023731, 1.67448e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2 ", 59, 70, 19501, 0.001306, 1.49319e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8 ", 64, 72, 65553, 0.003346, 1.95915e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4 ", 76, 80, 273878, 0.015768, 1.73692e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0 ", 88, 96, 28471, 0.001609, 1.76948e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10 ", 58, 60, 62272, 0.003507, 1.77565e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7 ", 66, 72, 184811, 0.010685, 1.72963e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13 ", 69, 78, 11385, 0.000716, 1.59008e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11 ", 61, 70, 381627, 0.021003, 1.81701e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13 ", 60, 64, 926166, 0.046855, 1.97666e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12 ", 59, 70, 29014, 0.001806, 1.60653e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14 ", 73, 78, 17406, 0.001052, 1.65456e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8 ", 63, 66, 17716, 0.001958, 9.04801e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12 ", 80, 88, 29560, 0.002281, 1.29592e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1 ", 69, 78, 190829, 0.014739, 1.29472e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5 ", 68, 76, 181570, 0.013574, 1.33763e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11 ", 49, 58, 74768, 0.003758, 1.98957e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1 ", 74, 80, 420111, 0.020330, 2.06646e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6 ", 94, 100, 2663388, 0.129311, 2.05968e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14 ", 66, 72, 31187, 0.003133, 9.95436e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13 ", 71, 74, 44660, 0.004570, 9.77243e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8 ", 59, 58, 1101246, 0.060351, 1.82474e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15 ", 53, 62, 39993, 0.002334, 1.71350e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3 ", 65, 70, 335572, 0.017890, 1.87575e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0 ", 88, 96, 373151, 0.019040, 1.95983e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5 ", 81, 86, 5799, 0.000340, 1.70559e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1 ", 61, 62, 2427, 0.000167, 1.45329e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14 ", 59, 62, 56495, 0.003476, 1.62529e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3 ", 74, 80, 163179, 0.011291, 1.44521e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9 ", 54, 56, 866843, 0.045048, 1.92427e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9 ", 63, 62, 1238774, 0.064112, 1.93220e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2 ", 73, 82, 1573458, 0.081267, 1.93616e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11 ", 60, 60, 193527, 0.009796, 1.97557e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14 ", 54, 60, 873522, 0.042767, 2.04251e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3 ", 65, 74, 1743800, 0.084565, 2.06208e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13 ", 69, 74, 44863, 0.002256, 1.98861e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5 ", 84, 92, 65178, 0.003376, 1.93063e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6 ", 70, 76, 1645316, 0.081072, 2.02945e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11 ", 54, 60, 29024, 0.002451, 1.18417e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7 ", 66, 68, 27896, 0.001749, 1.59497e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4 ", 71, 82, 125788, 0.008915, 1.41097e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15 ", 52, 56, 69394, 0.004366, 1.58942e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11 ", 77, 82, 132587, 0.008575, 1.54620e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2 ", 79, 86, 96047, 0.007275, 1.32023e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7 ", 71, 78, 45258, 0.003556, 1.27272e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 0 ", 74, 80, 295554, 0.017090, 1.72940e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8 ", 57, 62, 1031422, 0.054169, 1.90408e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15 ", 54, 64, 40295, 0.002635, 1.52922e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15 ", 59, 70, 223685, 0.013882, 1.61133e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "15 8 10 7 0 12 14 1 5 9 6 3 13 11 4 2 ", 69, 74, 321542, 0.019244, 1.67087e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15 ", 64, 68, 28938, 0.001913, 1.51270e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "11 1 7 4 10 13 3 8 9 14 0 15 6 5 2 12 ", 70, 76, 16339, 0.000839, 1.94744e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "15 2 12 11 14 13 9 5 1 3 8 7 0 10 6 4 ", 85, 86, 280607, 0.017429, 1.61000e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "9 7 5 2 14 15 12 10 11 3 6 1 8 13 0 4 ", 77, 82, 113092, 0.005672, 1.99386e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "3 2 7 9 0 15 12 4 6 11 5 14 8 13 10 1 ", 71, 74, 95761, 0.004826, 1.98427e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "5 4 7 1 11 12 14 15 10 13 8 6 2 0 9 3 ", 64, 72, 194797, 0.010507, 1.85397e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2 ", 87, 90, 29489, 0.001682, 1.75321e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "4 3 6 13 7 15 9 0 10 5 8 11 2 12 1 14 ", 64, 68, 18301, 0.001120, 1.63402e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15 ", 60, 68, 105434, 0.006501, 1.62181e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "0 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6 ", 60, 68, 57802, 0.003638, 1.58884e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3 ", 62, 64, 66230, 0.005590, 1.18479e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "1 7 15 14 2 6 4 9 12 11 13 3 0 8 5 10 ", 63, 70, 374162, 0.023375, 1.60069e+07
X, WIDA*, manhattan, 2.000000, 15Puzzle, "11 4 0 8 6 10 5 13 12 7 14 3 1 2 9 15 ", 70, 76, 14628, 0.001754, 8.33979e+06
X, WIDA*, manhattan, 2.000000, 15Puzzle, "7 15 4 0 10 9 2 5 12 11 13 6 1 3 14 8 ", 75, 78, 72543, 0.007738, 9.37490e+06
